"Order ID,Order Date,Product Category,Region,Quantity,Customer ID,Revenue,Profit,Segment,Location"
"ORD200000,2024-09-22,Office Supplies,Central,5,CUST101736,13525,3133.52,SME,Delhi"
"ORD200001,2025-08-13,Accessories,South,9,CUST101336,29214,7500.14,Corporate,Kolkata"
"ORD200003,2022-03-10,Furniture,West,9,CUST104155,15336,1545.88,SME,Chennai"
"ORD200004,2025-11-03,Electronics,Central,1,CUST103818,3137,409.53,Corporate,Pune"
"ORD200005,2025-11-15,Accessories,Central,4,CUST100695,19584,2183.28,Corporate,Pune"
"ORD200006,2024-05-28,Office Supplies,South,1,CUST101432,4431,1319.28,SME,Mumbai"
"ORD200007,2025-05-18,Clothing,West,9,CUST101383,33939,7249.91,Consumer,Bengaluru"
"ORD200008,2024-12-25,Furniture,South,8,CUST103971,38896,4964.83,Corporate,Kolkata"
"ORD200009,2023-10-04,Electronics,West,8,CUST103710,37384,5330.42,Corporate,Mumbai"
"ORD200010,2025-10-09,Furniture,North,7,CUST103718,22190,3628.46,Corporate,Bengaluru"
"ORD200011,2025-03-01,Clothing,Central,9,CUST103651,20241,3231.55,Consumer,Ahmedabad"
"ORD200012,2025-06-08,Electronics,North,3,CUST102134,14469,1351.28,SME,Ahmedabad"
"ORD200013,2024-11-05,Clothing,West,7,CUST100747,27958,7384.31,Corporate,Pune"
"ORD200014,2023-08-06,Furniture,Central,6,CUST103179,18552,4509.95,Consumer,Delhi"
"ORD200015,2024-01-07,Office Supplies,South,5,CUST102696,14765,4110.67,Consumer,Kolkata"
"ORD200016,2023-11-19,Furniture,East,9,CUST100376,32238,5847.31,Consumer,Pune"
"ORD200017,2025-03-26,Furniture,South,4,CUST104052,6352,1384.7,Corporate,Kolkata"
"ORD200018,2025-05-17,Furniture,East,3,CUST100386,11799,2814.0,SME,Mumbai"
"ORD200019,2024-03-10,Accessories,South,3,CUST104158,5868,1165.23,Corporate,Chennai"
"ORD200021,2025-07-28,Clothing,North,1,CUST104049,3192,585.77,SME,Bengaluru"
"ORD200022,2022-05-18,Clothing,East,3,CUST102422,3534,529.61,Corporate,Kolkata"
"ORD200023,2022-03-08,Accessories,West,8,CUST102285,4624,1367.42,SME,Delhi"
"ORD200024,2023-02-23,Office Supplies,North,6,CUST104062,11748,1989.93,Consumer,Chennai"
"ORD200025,2024-06-14,Furniture,North,2,CUST100385,5904,1531.95,Corporate,Chennai"
"ORD200026,2024-04-24,Office Supplies,Central,8,CUST101061,29896,5964.5,Corporate,Ahmedabad"
"ORD200027,2022-11-14,Accessories,Central,5,CUST100518,21765,2570.2,Consumer,Ahmedabad"
"ORD200028,2025-12-16,Clothing,Central,4,CUST101100,11856,927.44,Corporate,Bengaluru"
"ORD200029,2023-05-08,Furniture,East,1,CUST101466,4667,1300.99,SME,Hyderabad"
"ORD200030,2023-04-10,Electronics,East,1,CUST101792,665,89.32,Corporate,Chennai"
"ORD200031,2024-01-22,Electronics,North,4,CUST104132,17544,2172.54,SME,Mumbai"
"ORD200033,2023-03-25,Clothing,North,6,CUST103649,7608,1609.06,Consumer,Ahmedabad"
"ORD200034,2025-11-03,Electronics,West,1,CUST104055,3357,722.33,SME,Hyderabad"
"ORD200035,2024-12-18,Office Supplies,South,8,CUST100843,39352,3263.57,Corporate,Chennai"
"ORD200036,2024-07-25,Accessories,North,9,CUST103332,22473,2517.57,SME,Hyderabad"
"ORD200038,2023-01-15,Office Supplies,West,6,CUST103519,29778,7956.59,Consumer,Mumbai"
"ORD200039,2022-10-03,Office Supplies,Central,7,CUST103065,4788,748.6,Consumer,Mumbai"
"ORD200040,2022-05-27,Furniture,Central,1,CUST101837,2727,233.03,SME,Kolkata"
"ORD200041,2023-04-28,Office Supplies,Central,5,CUST103142,6250,937.99,SME,Delhi"
"ORD200042,2025-08-26,Office Supplies,North,5,CUST100245,20065,2465.98,SME,Mumbai"
"ORD200043,2025-12-16,Furniture,North,3,CUST104097,14139,4222.58,Consumer,Bengaluru"
"ORD200045,2025-06-01,Accessories,East,1,CUST100341,1175,239.58,Corporate,Hyderabad"
"ORD200046,2023-04-25,Clothing,South,6,CUST100725,26748,5180.65,Consumer,Pune"
"ORD200047,2025-04-26,Electronics,South,7,CUST102886,7994,739.61,Consumer,Mumbai"
"ORD200048,2024-08-21,Electronics,East,2,CUST104152,5760,475.39,Corporate,Pune"
"ORD200049,2023-06-20,Office Supplies,North,2,CUST101309,9984,543.3,Corporate,Ahmedabad"
"ORD200050,2025-04-09,Accessories,West,5,CUST101479,17665,1490.09,Consumer,Bengaluru"
"ORD200051,2023-10-24,Office Supplies,East,5,CUST101746,15950,3695.12,Corporate,Ahmedabad"
"ORD200052,2022-07-10,Electronics,North,3,CUST104288,6294,1310.17,Consumer,Delhi"
"ORD200053,2023-03-15,Furniture,East,3,CUST101145,10758,1301.83,Corporate,Chennai"
"ORD200054,2023-02-13,Clothing,Central,1,CUST101895,2532,262.83,Corporate,Pune"
"ORD200055,2023-08-25,Accessories,East,3,CUST100666,6495,375.76,Consumer,Hyderabad"
"ORD200056,2024-11-22,Furniture,Central,9,CUST100585,22302,2693.52,Consumer,Delhi"
"ORD200057,2025-10-21,Clothing,North,2,CUST100353,2556,342.71,Consumer,Kolkata"
"ORD200058,2024-01-16,Accessories,Central,1,CUST102222,3382,900.54,Consumer,Mumbai"
"ORD200060,2024-05-13,Electronics,Central,5,CUST102726,5535,641.97,Corporate,Pune"
"ORD200061,2023-12-30,Furniture,West,8,CUST102614,10000,2882.32,SME,Ahmedabad"
"ORD200062,2022-11-10,Accessories,Central,4,CUST103097,4160,1093.99,Corporate,Delhi"
"ORD200063,2023-09-21,Accessories,Central,8,CUST100043,5152,1393.36,Consumer,Bengaluru"
"ORD200064,2024-08-09,Clothing,South,5,CUST101604,7450,377.81,Consumer,Ahmedabad"
"ORD200065,2023-03-21,Electronics,West,6,CUST102895,19332,2717.39,Consumer,Pune"
"ORD200066,2024-01-17,Office Supplies,North,6,CUST100523,13266,2258.4,SME,Delhi"
"ORD200067,2023-07-17,Electronics,Central,6,CUST101128,23472,1805.84,Consumer,Hyderabad"
"ORD200068,2023-08-05,Office Supplies,West,2,CUST103344,7136,500.15,Consumer,Ahmedabad"
"ORD200069,2024-07-28,Furniture,North,9,CUST102840,14490,2018.71,SME,Ahmedabad"
"ORD200070,2023-06-28,Furniture,West,7,CUST100657,31934,8947.77,SME,Ahmedabad"
"ORD200071,2025-11-06,Accessories,South,3,CUST102386,4548,682.71,Corporate,Mumbai"
"ORD200072,2024-06-10,Furniture,North,2,CUST101862,8784,2100.95,Corporate,Hyderabad"
"ORD200073,2022-06-14,Accessories,North,4,CUST103438,7120,1420.54,Consumer,Mumbai"
"ORD200074,2025-10-29,Electronics,Central,8,CUST103822,30432,8273.06,Corporate,Kolkata"
"ORD200075,2022-01-16,Furniture,East,9,CUST100776,44721,5964.23,SME,Pune"
"ORD200076,2024-02-07,Electronics,North,2,CUST101663,4238,352.94,SME,Delhi"
"ORD200077,2024-09-30,Electronics,North,6,CUST103193,14424,1214.75,Consumer,Kolkata"
"ORD200078,2022-12-16,Furniture,South,8,CUST100755,16840,1634.46,SME,Chennai"
"ORD200080,2025-05-05,Furniture,South,9,CUST102993,42849,8261.51,Corporate,Kolkata"
"ORD200082,2023-07-18,Furniture,North,5,CUST103695,12570,1015.05,Consumer,Ahmedabad"
"ORD200083,2023-08-04,Office Supplies,South,7,CUST100302,17045,1609.34,Consumer,Hyderabad"
"ORD200084,2024-11-08,Electronics,South,5,CUST101098,20935,2121.12,Corporate,Mumbai"
"ORD200085,2022-04-30,Clothing,West,4,CUST101404,7180,1710.11,Consumer,Chennai"
"ORD200086,2025-04-11,Furniture,West,4,CUST101321,11320,2534.45,SME,Chennai"
"ORD200087,2022-01-02,Electronics,South,5,CUST100304,15795,3093.97,Consumer,Mumbai"
"ORD200088,2023-07-01,Accessories,Central,3,CUST104103,6939,523.43,Corporate,Delhi"
"ORD200089,2022-08-31,Furniture,East,9,CUST103924,14121,1250.18,SME,Pune"
"ORD200090,2025-06-01,Furniture,West,2,CUST100007,8366,956.42,Corporate,Kolkata"
"ORD200091,2022-06-11,Clothing,West,7,CUST101774,34356,8854.12,Corporate,Bengaluru"
"ORD200092,2022-09-09,Office Supplies,North,4,CUST101214,19684,4538.68,Consumer,Kolkata"
"ORD200093,2024-11-14,Office Supplies,North,8,CUST102570,17848,4974.24,SME,Bengaluru"
"ORD200095,2025-07-17,Electronics,North,8,CUST102280,11888,3035.14,SME,Pune"
"ORD200096,2024-08-22,Accessories,North,4,CUST100697,11440,640.71,Consumer,Delhi"
"ORD200097,2025-03-12,Accessories,East,2,CUST104001,6898,1492.5,Corporate,Pune"
"ORD200098,2024-07-19,Electronics,Central,7,CUST102726,27608,5866.14,Corporate,Pune"
"ORD200100,2023-02-21,Accessories,East,6,CUST101923,27234,6460.3,Corporate,Mumbai"
"ORD200101,2022-04-12,Office Supplies,South,7,CUST103423,29904,4652.2,Consumer,Delhi"
"ORD200102,2022-02-15,Electronics,Central,6,CUST101636,9198,1916.36,SME,Bengaluru"
"ORD200103,2022-11-29,Clothing,South,2,CUST100429,1898,393.95,SME,Ahmedabad"
"ORD200104,2023-12-12,Furniture,North,9,CUST101734,10467,2830.07,Consumer,Hyderabad"
"ORD200105,2025-10-08,Electronics,Central,5,CUST103153,17385,3799.29,Consumer,Hyderabad"
"ORD200106,2022-04-15,Accessories,East,3,CUST101705,8943,1946.52,SME,Hyderabad"
"ORD200107,2022-01-02,Furniture,East,4,CUST104001,15608,3107.72,Corporate,Pune"
"ORD200108,2023-06-20,Office Supplies,West,4,CUST103965,16796,1260.37,Consumer,Hyderabad"
"ORD200109,2024-03-06,Furniture,East,9,CUST102990,36792,4608.29,Corporate,Pune"
"ORD200110,2023-10-24,Furniture,West,5,CUST101220,12770,2105.16,Consumer,Ahmedabad"
"ORD200111,2025-01-13,Office Supplies,North,2,CUST103061,7344,826.79,Corporate,Bengaluru"
"ORD200113,2024-10-07,Furniture,Central,7,CUST103941,16044,2854.62,SME,Kolkata"
"ORD200114,2025-02-28,Office Supplies,West,8,CUST103122,9248,2393.31,Corporate,Mumbai"
"ORD200115,2025-03-03,Electronics,East,5,CUST100302,3865,805.93,Consumer,Hyderabad"
"ORD200116,2022-03-29,Office Supplies,North,8,CUST102051,33056,7393.55,Consumer,Pune"
"ORD200117,2025-10-14,Office Supplies,Central,8,CUST102078,11368,970.39,Consumer,Bengaluru"
"ORD200118,2023-01-15,Furniture,Central,4,CUST103669,7388,1842.44,Corporate,Ahmedabad"
"ORD200119,2023-12-19,Electronics,North,7,CUST100541,29512,2294.54,Corporate,Ahmedabad"
"ORD200120,2024-06-14,Clothing,East,9,CUST103156,18873,2274.36,Corporate,Pune"
"ORD200122,2023-10-24,Accessories,East,9,CUST102479,24885,6978.98,Consumer,Hyderabad"
"ORD200123,2023-01-23,Office Supplies,West,4,CUST101903,16644,1197.07,Consumer,Mumbai"
"ORD200124,2022-09-28,Office Supplies,West,1,CUST103000,2793,252.85,Corporate,Delhi"
"ORD200125,2023-02-02,Electronics,East,4,CUST102197,12948,1807.6,Consumer,Delhi"
"ORD200126,2022-03-13,Clothing,West,2,CUST102970,9016,2065.71,SME,Chennai"
"ORD200127,2024-12-17,Accessories,South,6,CUST100318,20274,1769.28,Corporate,Chennai"
"ORD200128,2023-06-23,Electronics,South,8,CUST102905,8504,754.16,SME,Bengaluru"
"ORD200130,2023-11-20,Clothing,West,9,CUST103961,41139,8126.57,SME,Delhi"
"ORD200131,2024-06-19,Accessories,East,6,CUST100976,9690,697.56,Corporate,Mumbai"
"ORD200132,2024-02-13,Furniture,Central,7,CUST102050,11949,1807.53,Corporate,Kolkata"
"ORD200133,2024-10-07,Clothing,South,5,CUST101360,21810,5082.97,SME,Mumbai"
"ORD200134,2022-07-13,Accessories,Central,8,CUST103818,21968,2974.29,Corporate,Pune"
"ORD200135,2024-05-09,Electronics,North,2,CUST100935,1742,192.58,SME,Chennai"
"ORD200136,2023-08-30,Furniture,West,2,CUST102386,5718,449.35,Corporate,Mumbai"
"ORD200137,2024-01-12,Accessories,East,8,CUST103046,31576,5246.82,Consumer,Ahmedabad"
"ORD200138,2025-11-17,Accessories,South,6,CUST103665,5514,1571.63,SME,Hyderabad"
"ORD200139,2022-01-17,Office Supplies,Central,2,CUST100763,2792,568.21,Corporate,Chennai"
"ORD200140,2023-02-07,Clothing,East,6,CUST102354,22986,1531.73,Consumer,Hyderabad"
"ORD200141,2024-04-22,Office Supplies,West,8,CUST103362,21168,2425.86,Consumer,Bengaluru"
"ORD200142,2023-04-25,Furniture,East,6,CUST103919,28524,6708.2,Consumer,Ahmedabad"
"ORD200143,2023-10-08,Accessories,West,9,CUST103854,13680,3272.27,Consumer,Chennai"
"ORD200145,2022-03-19,Clothing,West,3,CUST100023,11418,762.05,Corporate,Chennai"
"ORD200146,2022-08-22,Furniture,Central,9,CUST101025,8046,1482.2,Corporate,Mumbai"
"ORD200147,2022-06-09,Electronics,West,5,CUST101187,7775,1812.64,SME,Ahmedabad"
"ORD200148,2024-05-12,Office Supplies,East,6,CUST101007,23628,3141.3,Corporate,Pune"
"ORD200149,2024-06-15,Furniture,North,4,CUST101117,17380,4295.76,SME,Mumbai"
"ORD200150,2022-02-20,Electronics,East,3,CUST100203,9453,1251.04,Corporate,Delhi"
