Customer ID,Customer Name,Segment,Location,Acquisition Date
CUST100000,Customer_1,SME,Bengaluru,06-11-2024
CUST100001,Customer_2,Consumer,Hyderabad,15-02-2023
CUST100002,Customer_3,SME,Bengaluru,27-01-2023
CUST100003,Customer_4,SME,Ahmedabad,09-02-2023
CUST100004,Customer_5,Consumer,Chennai,22-09-2023
CUST100005,Customer_6,Consumer,Hyderabad,11-07-2024
CUST100006,Customer_7,SME,Bengaluru,01-07-2025
CUST100007,Customer_8,Corporate,Kolkata,26-11-2022
CUST100008,Customer_9,SME,Chennai,10-08-2022
CUST100009,Customer_10,SME,Delhi,17-06-2023
CUST100010,Customer_11,SME,Kolkata,08-09-2025
CUST100011,Customer_12,SME,Chennai,15-09-2025
CUST100012,Customer_13,Consumer,Pune,26-05-2024
CUST100013,Customer_14,SME,Hyderabad,05-07-2024
CUST100014,Customer_15,Corporate,Mumbai,02-01-2023
CUST100015,Customer_16,Consumer,Delhi,30-07-2025
CUST100016,Customer_17,Corporate,Ahmedabad,19-07-2022
CUST100017,Customer_18,Corporate,Kolkata,25-10-2023
CUST100018,Customer_19,Corporate,Kolkata,18-09-2025
CUST100019,Customer_20,Corporate,Bengaluru,13-08-2023
CUST100020,Customer_21,Consumer,Hyderabad,30-10-2024
CUST100021,Customer_22,Consumer,Ahmedabad,18-09-2024
CUST100022,Customer_23,Corporate,Mumbai,15-02-2025
CUST100023,Customer_24,Corporate,Chennai,27-02-2025
CUST100024,Customer_25,Consumer,Mumbai,04-03-2025
CUST100025,Customer_26,Consumer,Hyderabad,03-02-2024
CUST100026,Customer_27,Consumer,Hyderabad,30-11-2025
CUST100027,Customer_28,SME,Pune,21-08-2025
CUST100028,Customer_29,SME,Pune,24-01-2024
CUST100029,Customer_30,SME,Mumbai,30-11-2025
CUST100030,Customer_31,Corporate,Chennai,17-08-2022
CUST100031,Customer_32,SME,Mumbai,31-12-2022
CUST100032,Customer_33,Corporate,Hyderabad,05-10-2025
CUST100033,Customer_34,Corporate,Hyderabad,17-09-2022
CUST100034,Customer_35,SME,Bengaluru,15-01-2022
CUST100035,Customer_36,Corporate,Pune,29-08-2023
CUST100036,Customer_37,SME,Ahmedabad,06-08-2025
CUST100037,Customer_38,SME,Ahmedabad,17-07-2022
CUST100038,Customer_39,Consumer,Ahmedabad,10-01-2024
CUST100039,Customer_40,SME,Bengaluru,07-06-2024
CUST100040,Customer_41,Consumer,Delhi,13-10-2023
CUST100041,Customer_42,SME,Ahmedabad,08-11-2022
