Order ID,Order Date,Product Category,Region,Quantity,Customer ID,Revenue,Profit
ORD200000,22-09-2024,Office Supplies,Central,5,CUST101736,13525,3133.52
ORD200001,13-08-2025,Accessories,South,9,CUST101336,29214,7500.14
ORD200002,13-05-2025,Office Supplies,North,4,CUST104331,9856,2910.84
ORD200003,10-03-2022,Furniture,West,9,CUST104155,15336,1545.88
ORD200004,03-11-2025,Electronics,Central,1,CUST103818,3137,409.53
ORD200005,15-11-2025,Accessories,Central,4,CUST100695,19584,2183.28
ORD200006,28-05-2024,Office Supplies,South,1,CUST101432,4431,1319.28
ORD200007,18-05-2025,Clothing,West,9,CUST101383,33939,7249.91
ORD200008,25-12-2024,Furniture,South,8,CUST103971,38896,4964.83
ORD200009,04-10-2023,Electronics,West,8,CUST103710,37384,5330.42
ORD200010,09-10-2025,Furniture,North,7,CUST103718,22190,3628.46
ORD200011,01-03-2025,Clothing,Central,9,CUST103651,20241,3231.55
ORD200012,08-06-2025,Electronics,North,3,CUST102134,14469,1351.28
ORD200013,05-11-2024,Clothing,West,7,CUST100747,27958,7384.31
ORD200014,06-08-2023,Furniture,Central,6,CUST103179,18552,4509.95
ORD200015,07-01-2024,Office Supplies,South,5,CUST102696,14765,4110.67
ORD200016,19-11-2023,Furniture,East,9,CUST100376,32238,5847.31
ORD200017,26-03-2025,Furniture,South,4,CUST104052,6352,1384.70
ORD200018,17-05-2025,Furniture,East,3,CUST100386,11799,2814.00
ORD200019,10-03-2024,Accessories,South,3,CUST104158,5868,1165.23
ORD200020,17-05-2024,Clothing,West,2,CUST104325,3178,718.34
ORD200021,28-07-2025,Clothing,North,1,CUST104049,3192,585.77
ORD200022,18-05-2022,Clothing,East,3,CUST102422,3534,529.61
ORD200023,08-03-2022,Accessories,West,8,CUST102285,4624,1367.42
ORD200024,23-02-2023,Office Supplies,North,6,CUST104062,11748,1989.93
ORD200025,14-06-2024,Furniture,North,2,CUST100385,5904,1531.95
ORD200026,24-04-2024,Office Supplies,Central,8,CUST101061,29896,5964.50
ORD200027,14-11-2022,Accessories,Central,5,CUST100518,21765,2570.20
ORD200028,16-12-2025,Clothing,Central,4,CUST101100,11856,927.44
ORD200029,08-05-2023,Furniture,East,1,CUST101466,4667,1300.99
ORD200030,10-04-2023,Electronics,East,1,CUST101792,665,89.32
ORD200031,22-01-2024,Electronics,North,4,CUST104132,17544,2172.54
ORD200032,02-08-2024,Office Supplies,East,9,CUST104504,26802,6346.81
ORD200033,25-03-2023,Clothing,North,6,CUST103649,7608,1609.06
ORD200034,03-11-2025,Electronics,West,1,CUST104055,3357,722.33
ORD200035,18-12-2024,Office Supplies,South,8,CUST100843,39352,3263.57
ORD200036,25-07-2024,Accessories,North,9,CUST103332,22473,2517.57
ORD200037,14-07-2025,Office Supplies,North,2,CUST104649,4120,716.71
ORD200038,15-01-2023,Office Supplies,West,6,CUST103519,29778,7956.59
ORD200039,03-10-2022,Office Supplies,Central,7,CUST103065,4788,748.60
ORD200040,27-05-2022,Furniture,Central,1,CUST101837,2727,233.03
ORD200041,28-04-2023,Office Supplies,Central,5,CUST103142,6250,937.99
ORD200042,26-08-2025,Office Supplies,North,5,CUST100245,20065,2465.98
ORD200043,16-12-2025,Furniture,North,3,CUST104097,14139,4222.58
ORD200044,18-12-2022,Furniture,East,2,CUST104975,2298,330.84
ORD200045,01-06-2025,Accessories,East,1,CUST100341,1175,239.58
ORD200046,25-04-2023,Clothing,South,6,CUST100725,26748,5180.65
ORD200047,26-04-2025,Electronics,South,7,CUST102886,7994,739.61
ORD200048,21-08-2024,Electronics,East,2,CUST104152,5760,475.39
ORD200049,20-06-2023,Office Supplies,North,2,CUST101309,9984,543.30
ORD200050,09-04-2025,Accessories,West,5,CUST101479,17665,1490.09
ORD200051,24-10-2023,Office Supplies,East,5,CUST101746,15950,3695.12
ORD200052,10-07-2022,Electronics,North,3,CUST104288,6294,1310.17
ORD200053,15-03-2023,Furniture,East,3,CUST101145,10758,1301.83
ORD200054,13-02-2023,Clothing,Central,1,CUST101895,2532,262.83
ORD200055,25-08-2023,Accessories,East,3,CUST100666,6495,375.76
ORD200056,22-11-2024,Furniture,Central,9,CUST100585,22302,2693.52
ORD200057,21-10-2025,Clothing,North,2,CUST100353,2556,342.71
ORD200058,16-01-2024,Accessories,Central,1,CUST102222,3382,900.54
ORD200059,06-03-2024,Accessories,East,9,CUST104993,39258,2096.84
ORD200060,13-05-2024,Electronics,Central,5,CUST102726,5535,641.97
ORD200061,30-12-2023,Furniture,West,8,CUST102614,10000,2882.32
ORD200062,10-11-2022,Accessories,Central,4,CUST103097,4160,1093.99
ORD200063,21-09-2023,Accessories,Central,8,CUST100043,5152,1393.36
ORD200064,09-08-2024,Clothing,South,5,CUST101604,7450,377.81
ORD200065,21-03-2023,Electronics,West,6,CUST102895,19332,2717.39
ORD200066,17-01-2024,Office Supplies,North,6,CUST100523,13266,2258.40
ORD200067,17-07-2023,Electronics,Central,6,CUST101128,23472,1805.84
ORD200068,05-08-2023,Office Supplies,West,2,CUST103344,7136,500.15
ORD200069,28-07-2024,Furniture,North,9,CUST102840,14490,2018.71
ORD200070,28-06-2023,Furniture,West,7,CUST100657,31934,8947.77
ORD200071,06-11-2025,Accessories,South,3,CUST102386,4548,682.71
ORD200072,10-06-2024,Furniture,North,2,CUST101862,8784,2100.95
ORD200073,14-06-2022,Accessories,North,4,CUST103438,7120,1420.54
ORD200074,29-10-2025,Electronics,Central,8,CUST103822,30432,8273.06
ORD200075,16-01-2022,Furniture,East,9,CUST100776,44721,5964.23
ORD200076,07-02-2024,Electronics,North,2,CUST101663,4238,352.94
ORD200077,30-09-2024,Electronics,North,6,CUST103193,14424,1214.75
ORD200078,16-12-2022,Furniture,South,8,CUST100755,16840,1634.46
ORD200079,18-04-2024,Electronics,South,3,CUST104654,3330,839.76
ORD200080,05-05-2025,Furniture,South,9,CUST102993,42849,8261.51
ORD200081,08-11-2024,Furniture,Central,4,CUST104415,19620,3657.49
ORD200082,18-07-2023,Furniture,North,5,CUST103695,12570,1015.05
ORD200083,04-08-2023,Office Supplies,South,7,CUST100302,17045,1609.34
ORD200084,08-11-2024,Electronics,South,5,CUST101098,20935,2121.12
ORD200085,30-04-2022,Clothing,West,4,CUST101404,7180,1710.11
